id,sequence,code,name,report_name,internal_type,l10n_do_ncf_type,doc_code_prefix,country_id/id,active
ncf_fiscal_client,10,B,Fiscal Credit,Fiscal Credit Invoice,invoice,01,B01,base.do,TRUE
ncf_consumer_supplier,30,B,Consumption,Consumption Invoice,invoice,02,B02,base.do,TRUE
ncf_debit_note_client,40,B,Debit Note,Debit Note,debit_note,03,B03,base.do,TRUE
ncf_credit_note_client,60,B,Credit Note,Credit Note,credit_note,04,B04,base.do,TRUE
ncf_informal_supplier,80,B,Purchase Receipt,Purchase Receipt,invoice,11,B11,base.do,TRUE
ncf_unique_client,90,B,Unique Income,Unique Income Invoice,invoice,12,B12,base.do,TRUE
ncf_minor_supplier,100,B,Minor Expense,Minor Expense,invoice,13,B13,base.do,TRUE
ncf_special_client,110,B,Special Regime,Special Regime Invoice,invoice,14,B14,base.do,TRUE
ncf_gov_client,120,B,Government Invoice,Government Invoice,invoice,15,B15,base.do,TRUE
ncf_export_client,130,B,Exportation,Exportation Invoice,invoice,16,B16,base.do,TRUE
ncf_exterior_supplier,140,B,Abroad Payment,Abroad Payment Invoice,invoice,17,B17,base.do,TRUE
non_fiscal_import_supplier,150,N,Import,Import Invoice,invoice,,IMP,base.do,FALSE
ecf_fiscal_client,160,E,Electronic Fiscal Credit,Electronic Fiscal Credit Invoice,invoice,31,E31,base.do,TRUE
ecf_consumer_supplier,170,E,Electronic Consumption,Electronic Consumption Invoice,invoice,32,E32,base.do,TRUE
ecf_debit_note_client,180,E,Electronic Debit Note,Electronic Debit Note,debit_note,33,E33,base.do,TRUE
ecf_credit_note_client,190,E,Electronic Credit Note,Electronic Credit Note,credit_note,34,E34,base.do,TRUE
ecf_informal_supplier,200,E,Electronic Purchase Receipt,Electronic Purchase Receipt,invoice,41,E41,base.do,TRUE
ecf_minor_supplier,220,E,Electronic Minor Expense,Electronic Minor Expense Invoice,invoice,43,E43,base.do,TRUE
ecf_special_client,230,E,Electronic Special Regime,Electronic Special Regime Invoice,invoice,44,E44,base.do,TRUE
ecf_gov_client,240,E,Electronic Government Invoice,Electronic Government Invoice,invoice,45,E45,base.do,TRUE
ecf_export_client,250,E,Electronic Exportation,Electronic Exportation Invoice,invoice,46,E46,base.do,TRUE
ecf_exterior_supplier,260,E,Electronic Abroad Payment,Electronic Abroad Payment Invoice,invoice,47,E47,base.do,TRUE
